listing_creator,listing_id,gas_price,gas_used,block_number,timestamp,transaction_hash,event_type
0xedc7320CeA8D59FceC17E4446e1FDf266b3B6C2a,81018,48518522,49956,5004094,1743142939,0xb9e2ef7bfe5128091eb937b379cdcbcd3d27532a960ab3f90940612ef34db800,CancelledListing
0xDe56CFa59a2Eb05f529E32EDee5d4f0542c85F82,81008,48457967,49956,5004102,1743142955,0xfa89e9544c40efff2758eb49ac2330aa40744d84cc36f898af4a6bba23fa737c,CancelledListing
0xCEFA7a914D6210C815A0Ed4ac0cA1C8Ae1E1001C,81013,48397067,49956,5004103,1743142957,0x9583b2a25c309a35232cdb6a149791aae9cdccd5fd8234cada75ae7bb4c5b56e,CancelledListing
0x3E0e0ab3Aebd2B4Da32f7604C2e542F61A17e28B,81012,48369940,49956,5004104,1743142959,0x19f46b1a555c14352af58bb8ba9c03100a09d4751abfecda43ba1531d713bd40,CancelledListing
0x64BD9FF7615D5D9f0b037DDF104897e796A44Bb9,81011,48369940,49956,5004104,1743142959,0x6c6d9a5878b44351140b0f8583f0431d46d400fb4e3329fa33d998f7a1aac4b6,CancelledListing
0x7aC0fDef2bfDA0Ea8c57a804C68c595Bd2246a9C,81009,48424526,49956,5004105,1743142961,0x76f451355df04defcd6a47566116ef1e6dd6a36db1a6cf1ee4aa97cc844c1324,CancelledListing
0xF020aD03fC0D227aA20e9e06E2365a3B16b22eA7,81028,49980091,49956,5004173,1743143097,0xcefb80ecd99ac6a5ef48759018ba8d7853de0241c29c16ce253acfcb8d7f3e91,CancelledListing
0xF020aD03fC0D227aA20e9e06E2365a3B16b22eA7,81032,51211615,49956,5004224,1743143199,0x0900bb9935c9357e12ffae8ba3fc5c8105170e29553d730482854ad635dd5eb0,CancelledListing
0xF020aD03fC0D227aA20e9e06E2365a3B16b22eA7,81033,52446340,49956,5004282,1743143315,0x1b1327d6b9f65ee8b0a275099fef34f8cf3ecca84717a9956916c16396dfe0c8,CancelledListing
0xE20C4225a967a12c40b5CAC343CA3EC7D09a2f48,80971,59660000,49956,5004349,1743143449,0x2a18ba64ebc1a95c8a53e6915f877f5447b44c64011283d22dbf5e11f3e015d4,CancelledListing
