listing_creator,listing_id,asset_contract,token_id,buyer,quantity_bought,total_price_paid,gas_price,gas_used,block_number,timestamp,transaction_hash,event_type
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,35426467,178454,4916367,1742967485,0x03e20308a106df042b3d095421d4b0196e08fe3559a534c5f7f05fa90bd41ccb,NewSale
0x79a6115b36D4E2da8384ea371E7fEa6618A1643F,73574,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,289000000000000,35482994,135778,4916369,1742967489,0x7493385d805f97583d6a24cc4ad2ca20b75aad5f6c674b2fbf2665d7c934b084,NewSale
0xa03f24da09Cb43b03552Da2f7B56AdCB9f05432b,73464,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,290000000000000,35448196,135778,4916382,1742967515,0xd793d9ad7140c0d38c1eb5d6f9dacafcf541e887541b37f3f56bb0cb54a70f9b,NewSale
0x56Ffd1BF1aeDBB4814FBc69704544736798b605a,73584,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0x7216f5384dbc9e61f37349f3c08fb1bd55e29ea9,1,1000000000000000000,35500000,163443,4916384,1742967519,0x70844410bdeb1b3e4e22e10bb3ad1a8ba6f8ac8aa7ecacf3218d33a4dd5f4531,NewSale
0x362B6701b5F8e78B3491452cAcda48900dFCbb1e,73533,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x89af20c242de43d97da884f8ddb62d54fbd05ae2,1,289000000000000,35960039,135790,4916386,1742967523,0x9f368dbdfd456fd09b4983d13a62accc647625679c779fbe5f32f08ef0f48bc1,NewSale
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,35478764,161354,4916390,1742967531,0xb04ed7a1230d8af131755353919b1a1fac0e7caf74a253c453a15d095c685797,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,69597,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,298000000000000,35560166,142189,4916397,1742967545,0xb92ec4b85c6518372f4c1f4a1265458918151fce5bccf10c352d7300a7330cb8,NewSale
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,35717280,161354,4916407,1742967565,0x3daa90e82c173dd10d0dcdc63d84a82f19fd3e8ad4ce3d34c0a7399ca4e599ed,NewSale
0x56Ffd1BF1aeDBB4814FBc69704544736798b605a,73587,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0x7216f5384dbc9e61f37349f3c08fb1bd55e29ea9,1,1000000000000000000,35640000,158643,4916410,1742967571,0x4edee5e466cc06c78ce74febf7832ee4d0f5fce9b0db89eea4ddc801edeafe02,NewSale
0x80fe121B69163E17bd4e9CC573652e29E48fa4ae,73538,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,288000000000000,35480916,142177,4916415,1742967581,0x6a164ec89761996220e74d538e58953ff54aecba25f2a46058cb3d1b1f2866bd,NewSale
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,36049225,161354,4916427,1742967605,0x98f3803193cbe22e2d91af4fab9771797f5c6478641cb5bf3bb08cc7234159f0,NewSale
0x22C44e54eD8a9DDaff368B77411f3b2e05c3Eaa1,73563,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,289000000000000,36313710,135778,4916437,1742967625,0xcffb2e7539b8887efd268a52a042813891772bc577037934c6adb1c0bfe3cd2e,NewSale
0x80fe121B69163E17bd4e9CC573652e29E48fa4ae,73538,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0x89af20c242de43d97da884f8ddb62d54fbd05ae2,1,288000000000000,36383784,142189,4916440,1742967631,0x714f43126c097f93fefe88cd7aa9a88d07c1c5f732ecd6843ec0a8f2b57bf6dc,NewSale
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,36342345,161354,4916447,1742967645,0xf81844473a61034908147acd7352db8e4d9a26ec316e3a0814807add98e5ae35,NewSale
0xf95953d2dF558093DB81388c58FC532d0955cFA3,73583,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,289000000000000,36259354,135778,4916449,1742967649,0xe40f066aeace3041ef6ae2cb05a2ffb13ee31494abc1fadbf2b13f590aa72491,NewSale
0x3c48A0Fe622b626A6Ab75c6B7b10bf1eb139B156,73560,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x89af20c242de43d97da884f8ddb62d54fbd05ae2,1,289000000000000,36218654,135790,4916452,1742967655,0xf8cc05e6dd9fbf944f90adc6832e67e71de50e586269950649bfa3e4819f24c1,NewSale
0xeCD79482ef990AB40a48B093685E68aa0902993F,73593,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,1,289000000000000,36315184,135778,4916462,1742967675,0x1dbb3252cd6e83c07f76d4d1e35a09436788f577cc3ba6ab6eb3c3a84852a3a1,NewSale
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,36470720,161354,4916466,1742967683,0xe680ca078651ec9b150e0a3f200fbc7a5e3ea71d9941082f3afb8eb37a9ecb25,NewSale
0x7216f5384dbc9e61f37349f3C08fb1Bd55e29EA9,73596,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0x56ffd1bf1aedbb4814fbc69704544736798b605a,1,1000000000000000000,36430000,180543,4916474,1742967699,0xd7bce1bcd6b2795115189490772c3fe196c0f9ed47252fddf0af197954e1adce,NewSale
